alpha,beta,MSE,MAE,R2
0.01,0.01,0.006217589,0.053025168,0.577549559
0.02,0.02,0.006212468,0.053044443,0.577897455
0.03,0.03,0.006208249,0.052985468,0.578184175
0.04,0.04,0.006197286,0.053013086,0.578929044
0.05,0.05,0.00620294,0.052941769,0.578544892
0.06,0.06,0.006202526,0.052979124,0.57857296
0.07,0.07,0.006219704,0.053095513,0.577405853
0.08,0.08,0.006215554,0.053062457,0.577687828
0.09,0.09,0.006214506,0.053029704,0.577759013
0.1,0.1,0.006215638,0.053049918,0.577682104
0.11,0.11,0.006220561,0.052941825,0.577347635
0.12,0.12,0.006209163,0.053000852,0.578122027
0.13,0.13,0.006205118,0.052912112,0.578396889
0.14,0.14,0.006219529,0.053037615,0.577417754
0.15,0.15,0.006224829,0.053066655,0.577057628
0.16,0.16,0.006202156,0.05297809,0.578598149
0.17,0.17,0.006206038,0.053069027,0.578334349
0.18,0.18,0.006208299,0.053007107,0.578180717
0.19,0.19,0.006215336,0.053018072,0.57770262
0.2,0.2,0.00623748,0.053096773,0.57619809
0.21,0.21,0.006209627,0.052959503,0.578090516
0.22,0.22,0.006207634,0.052954706,0.5782259
0.23,0.23,0.00621989,0.052989696,0.577393211
0.24,0.24,0.006232156,0.0530612,0.576559787
0.25,0.25,0.006210937,0.0530408,0.578001533
0.26,0.26,0.006210578,0.052960053,0.578025882
0.27,0.27,0.006229615,0.053043962,0.576732435
0.28,0.28,0.006248974,0.053119507,0.57541711
0.29,0.29,0.006206605,0.052876166,0.578295824
0.3,0.3,0.006211275,0.05294901,0.577978513
0.31,0.31,0.006213277,0.053013543,0.577842555
0.32,0.32,0.006220476,0.052966685,0.577353394
0.33,0.33,0.006204248,0.0530019,0.578456016
0.34,0.34,0.006216428,0.052891747,0.577628399
0.35,0.35,0.006218416,0.052984878,0.577493371
0.36,0.36,0.006206299,0.052938629,0.57831665
0.37,0.37,0.006209974,0.052919207,0.578066953
0.38,0.38,0.006238624,0.05302276,0.576120356
0.39,0.39,0.006237594,0.0531017,0.576190289
0.4,0.4,0.006215676,0.052845467,0.577679544
0.41,0.41,0.00623692,0.053037964,0.576236094
0.42,0.42,0.00621768,0.052983517,0.577543375
0.43,0.43,0.006227072,0.053125537,0.576905246
0.44,0.44,0.006231972,0.053000382,0.576572288
0.45,0.45,0.006232149,0.053066546,0.576560243
0.46,0.46,0.006219616,0.052912257,0.577411836
0.47,0.47,0.00623228,0.053128843,0.576551372
0.48,0.48,0.006215822,0.053029711,0.577669575
0.49,0.49,0.006230669,0.053095438,0.576660831
0.5,0.5,0.00623005,0.052914518,0.576702894
0.51,0.51,0.006230423,0.053073082,0.576677559
0.52,0.52,0.006241693,0.053021033,0.575911827
0.53,0.53,0.00621714,0.052961237,0.577580085
0.54,0.54,0.006222747,0.052983813,0.57719911
0.55,0.55,0.006225358,0.052947972,0.577021672
0.56,0.56,0.006248581,0.053073043,0.575443806
0.57,0.57,0.006205565,0.052825825,0.578366534
0.58,0.58,0.00622774,0.052976648,0.57685982
0.59,0.59,0.006227314,0.052956178,0.576888806
0.6,0.6,0.006256615,0.053117631,0.574897967
0.61,0.61,0.006222226,0.052898827,0.577234471
0.62,0.62,0.006227729,0.052984079,0.576860597
0.63,0.63,0.006208892,0.052930732,0.578140444
0.6,0.6,0.006244386,0.053023423,0.575728847
0.61,0.61,0.006222677,0.052981532,0.577203858
0.62,0.62,0.006204673,0.052950016,0.578427128
0.63,0.63,0.006239372,0.052973396,0.576069504
0.64,0.64,0.006229204,0.053081645,0.576760387
0.65,0.65,0.0062364,0.053000618,0.576271457
0.66,0.66,0.006235024,0.052998866,0.576364961
0.67,0.67,0.006232177,0.053061678,0.576558351
0.68,0.68,0.0062219,0.052966598,0.577256616
0.69,0.69,0.006224316,0.053039802,0.577092507
0.7,0.7,0.006230066,0.052921094,0.576701824
0.71,0.71,0.006235246,0.053046655,0.576349839
0.72,0.72,0.006214622,0.052952347,0.577751116
0.73,0.73,0.006217962,0.052902059,0.577524178
0.74,0.74,0.006234451,0.053009912,0.576403893
0.75,0.75,0.006232019,0.052902233,0.576569081
0.76,0.76,0.006255672,0.05301469,0.574961991
0.77,0.77,0.006238189,0.053027501,0.576149915
0.78,0.78,0.006234215,0.053063842,0.576419871
0.79,0.79,0.006209069,0.052843882,0.578128406
0.8,0.8,0.006215699,0.052843312,0.577677987
0.81,0.81,0.006218546,0.052911055,0.577484534
0.82,0.82,0.006241371,0.05304769,0.575933696
0.83,0.83,0.006212416,0.053046333,0.577901035
0.84,0.84,0.00621198,0.052925554,0.577930628
0.85,0.85,0.006232073,0.052965093,0.57656543
0.86,0.86,0.006247103,0.053129564,0.575544257
0.87,0.87,0.006247453,0.053029232,0.575520433
0.88,0.88,0.006230863,0.052874397,0.576647662
0.89,0.89,0.006219934,0.052933527,0.577390226
0.9,0.9,0.006229413,0.05297396,0.576746184
0.91,0.91,0.006249021,0.052955805,0.575413927
0.92,0.92,0.006218418,0.05285725,0.577493213
0.93,0.93,0.006233695,0.052907681,0.576455201
0.94,0.94,0.006216732,0.052892817,0.577607799
0.95,0.95,0.006224254,0.053070715,0.577096669
0.96,0.96,0.006235071,0.052940139,0.576361761
0.97,0.97,0.006235132,0.052995879,0.576357585
0.98,0.98,0.006234997,0.052935642,0.576366764
0.99,0.99,0.006234214,0.053016061,0.576419976
