alpha,beta,MSE,MAE,R2,
0.01,0.01,2659.513421,39.68938972,0.519048352,
0.02,0.02,2642.851606,39.60242978,0.522061507,
0.03,0.03,2651.770184,39.70734245,0.520448654,
0.04,0.04,2660.163949,39.76875325,0.518930709,
0.05,0.05,2661.07479,39.74160712,0.518765991,
0.06,0.06,2660.39205,39.75841344,0.518889459,
0.07,0.07,2678.020398,39.93812308,0.515701514,
0.08,0.08,2662.096443,39.75709429,0.518581233,
0.09,0.09,2661.677655,39.62577045,0.518656968,
0.1,0.1,2665.966519,39.75101449,0.517881361,
0.11,0.11,2655.363327,39.70541327,0.519798863,
0.12,0.12,2658.660507,39.80280991,0.519202595,
0.13,0.13,2644.308597,39.64599016,0.521798022,
0.14,0.14,2660.511773,39.72649388,0.518867808,
0.15,0.15,2703.061242,40.01830553,0.511173078,
0.16,0.16,2667.064989,39.80224791,0.517682712,
0.17,0.17,2657.735993,39.65424789,0.519369786,
0.18,0.18,2676.14905,39.87402101,0.516039932,
0.19,0.19,2654.10635,39.63030471,0.520026177,
0.2,0.2,2648.614197,39.66255151,0.521019389,
0.21,0.21,2683.080267,39.91723252,0.514786477,
0.22,0.22,2657.930484,39.60817688,0.519334614,
0.23,0.23,2659.692014,39.79517903,0.519016055,
0.24,0.24,2659.078723,39.73642439,0.519126964,
0.25,0.25,2655.69804,39.72686609,0.519738333,
0.26,0.26,2637.415579,39.5841988,0.523044569,
0.27,0.27,2676.444494,39.89852463,0.515986503,
0.28,0.28,2673.190015,39.82818071,0.51657505,
0.29,0.29,2629.324128,39.47783162,0.524507843,
0.3,0.3,2658.181888,39.68773901,0.519289149,
0.31,0.31,2655.964608,39.74892332,0.519690126,
0.32,0.32,2638.633688,39.62340428,0.522824284,
0.33,0.33,2644.678074,39.6896978,0.521731205,
0.34,0.34,2661.18799,39.85504641,0.51874552,
0.35,0.35,2684.895286,39.97865437,0.514458246,
0.36,0.36,2659.157587,39.64722177,0.519112702,
0.37,0.37,2661.53669,39.76587396,0.51868246,
0.38,0.38,2647.452913,39.67732803,0.521229398,
0.39,0.39,2665.601295,39.82251495,0.517947409,
0.4,0.4,2650.333347,39.68200037,0.520708495,
0.41,0.41,2670.86129,39.86592598,0.516996181,
0.42,0.42,2694.921371,39.99420588,0.512645109,
0.43,0.43,2658.729397,39.75730965,0.519190136,
0.44,0.44,2641.675774,39.53445277,0.522274147,
0.45,0.45,2663.82758,39.73214512,0.518268171,
0.46,0.46,2672.34568,39.93026996,0.516727741,
0.47,0.47,2673.644932,39.82636955,0.516492782,
0.48,0.48,2655.674399,39.77811824,0.519742608,
0.49,0.49,2640.947595,39.56524515,0.522405833,
0.5,0.5,2663.314969,39.802332,0.518360873,
0.51,0.51,2672.473703,39.75951671,0.516704589,
0.52,0.52,2655.50716,39.78619002,0.519772852,
0.53,0.53,2644.996078,39.69539506,0.521673697,
0.54,0.54,2655.380547,39.78044116,0.519795749,
0.55,0.55,2650.286605,39.58788431,0.520716948,
0.56,0.56,2655.054927,39.66062644,0.519854635,
0.57,0.57,2676.201872,39.88379337,0.51603038,
0.58,0.58,2663.255922,39.87163722,0.518371551,
0.59,0.59,2647.593809,39.63240513,0.521203918,
0.6,0.6,2666.42443,39.76454206,0.517798552,
0.61,0.61,2653.189209,39.77057354,0.520192035,
0.62,0.62,2644.835743,39.57416163,0.521702692,
0.63,0.63,2656.457517,39.71313362,0.519600988,
0.64,0.64,2630.861768,39.56077011,0.524229773,
0.65,0.65,2680.580855,39.84769308,0.515238476,
0.66,0.66,2671.254684,39.73026703,0.516925039,
0.67,0.67,2654.097186,39.79282409,0.520027835,
0.68,0.68,2648.667627,39.72973235,0.521009727,
0.69,0.69,2696.85064,40.09368506,0.512296216,
0.7,0.7,2674.903183,39.92508555,0.516265237,
0.71,0.71,2655.085755,39.69757724,0.51984906,
0.72,0.72,2658.484962,39.69017669,0.519234341,
0.73,0.73,2655.49658,39.79252405,0.519774766,
0.74,0.74,2649.75584,39.66856049,0.520812932,
0.75,0.75,2653.975838,39.77599663,0.520049779,
0.76,0.76,2655.315273,39.78024699,0.519807553,
0.77,0.77,2659.791572,39.77451747,0.518998051,
0.78,0.78,2658.143076,39.63987701,0.519296168,
0.79,0.79,2646.819031,39.75873339,0.52134403,
0.8,0.8,2650.56197,39.60197542,0.52066715,
0.81,0.81,2649.315257,39.67776533,0.520892608,
0.82,0.82,2665.887284,39.7799484,0.51789569,
0.83,0.83,2657.781728,39.76766861,0.519361515,
0.84,0.84,2652.975502,39.69174973,0.520230682,
0.85,0.85,2652.722743,39.69659779,0.520276392,
0.86,0.86,2654.787495,39.74401913,0.519902998,
0.87,0.87,2648.606711,39.59667161,0.521020743,
0.88,0.88,2653.971778,39.75477888,0.520050514,
0.89,0.89,2667.51407,39.83911772,0.517601499,
0.9,0.9,2644.993831,39.59092888,0.521674103,
0.91,0.91,2667.551548,39.8022549,0.517594721,
0.92,0.92,2655.564037,39.74835814,0.519762566,
0.93,0.93,2684.232059,39.93072051,0.514578185,
0.94,0.94,2670.739832,39.8113372,0.517018146,
0.95,0.95,2660.576053,39.74127129,0.518856184,
0.96,0.96,2668.485278,39.88590227,0.517425864,
0.97,0.97,2650.654748,39.65626721,0.520650372,
0.98,0.98,2653.334252,39.67189702,0.520165805,
0.99,0.99,2671.140231,39.88450493,0.516945737,
