,alpha,acc,f1
0,0.01,0.530040053,[0.69284468 0.        ]
1,0.02,0.530040053,[0.69284468 0.        ]
2,0.03,0.558077437,[0.69990934 0.16202532]
3,0.04,0.562616822,[0.69978006 0.19469027]
4,0.05,0.562082777,[0.69808542 0.20310982]
5,0.06,0.565554072,[0.69964925 0.21514713]
6,0.07,0.569559413,[0.70126019 0.23018147]
7,0.08,0.571695594,[0.70174786 0.2405303 ]
8,0.09,0.574098798,[0.70292419 0.24799623]
9,0.1,0.575700935,[0.70282401 0.2585161 ]
10,0.11,0.573030708,[0.70072993 0.25523987]
11,0.12,0.57329773,[0.70074906 0.25674419]
12,0.13,0.57329773,[0.70018762 0.26018519]
13,0.14,0.578905207,[0.70217186 0.28154897]
14,0.15,0.571161549,[0.69789315 0.26126955]
15,0.16,0.583978638,[0.70244461 0.30878438]
16,0.17,0.585847797,[0.70178812 0.32241153]
17,0.18,0.589319092,[0.70434448 0.3277972 ]
18,0.19,0.598397864,[0.7087529  0.35339639]
19,0.2,0.590921228,[0.70617568 0.32688928]
20,0.21,0.597596796,[0.70890477 0.3484652 ]
21,0.22,0.6,[0.70787832 0.3657917 ]
22,0.23,0.590654206,[0.7030796  0.34121186]
23,0.24,0.600534045,[0.70758405 0.36983993]
24,0.25,0.601602136,[0.70745098 0.37573222]
25,0.26,0.599465955,[0.70817121 0.36170213]
26,0.27,0.598397864,[0.7063647  0.36486486]
27,0.28,0.601068091,[0.7080891  0.37015177]
28,0.29,0.603738318,[0.70936154 0.37751678]
29,0.3,0.601068091,[0.70843091 0.36855452]
30,0.31,0.60293725,[0.71064409 0.36750319]
31,0.32,0.602670227,[0.70731707 0.38154613]
32,0.33,0.606408545,[0.71143305 0.38119228]
33,0.34,0.60400534,[0.71018175 0.37505268]
34,0.35,0.606141522,[0.71163245 0.37894737]
35,0.36,0.613351135,[0.71406003 0.40313273]
36,0.37,0.60694259,[0.70943545 0.39273927]
37,0.38,0.608811749,[0.71155739 0.39236831]
38,0.39,0.609612817,[0.71038035 0.4013104 ]
39,0.4,0.608277704,[0.70956246 0.39852399]
40,0.41,0.612550067,[0.71307099 0.40361693]
41,0.42,0.612016021,[0.71324255 0.40033017]
42,0.43,0.605874499,[0.70853081 0.3915911 ]
43,0.44,0.610947931,[0.71097005 0.40506329]
44,0.45,0.610413885,[0.71239897 0.39635912]
45,0.46,0.609345794,[0.70943396 0.40407332]
46,0.47,0.61388518,[0.71252485 0.41219512]
47,0.48,0.612550067,[0.71170276 0.40944241]
48,0.49,0.611481976,[0.71159564 0.40490798]
49,0.5,0.611748999,[0.71185097 0.40507365]
50,0.51,0.614419226,[0.71394612 0.40868141]
51,0.52,0.612283044,[0.71041085 0.41357027]
52,0.53,0.616021362,[0.71343165 0.41828479]
53,0.54,0.613618158,[0.71238322 0.41154941]
54,0.55,0.616288385,[0.71482437 0.41370869]
55,0.56,0.615754339,[0.71397337 0.41480277]
56,0.57,0.622162884,[0.71896723 0.42362525]
57,0.58,0.615754339,[0.71283177 0.419524  ]
58,0.59,0.616021362,[0.71434247 0.41449511]
59,0.6,0.614419226,[0.71223595 0.41585761]
60,0.61,0.619225634,[0.71491403 0.42684887]
61,0.62,0.615487316,[0.71371769 0.41463415]
62,0.63,0.61682243,[0.71351567 0.42160419]
63,0.64,0.616288385,[0.71391599 0.41751115]
64,0.65,0.620293725,[0.71480144 0.43210863]
65,0.66,0.623230975,[0.71909218 0.42805026]
66,0.67,0.624833111,[0.72017526 0.4309437 ]
67,0.68,0.621094793,[0.71850823 0.42057983]
68,0.69,0.622963952,[0.71669342 0.43655227]
69,0.7,0.622429907,[0.71899841 0.42473556]
70,0.71,0.622162884,[0.71626228 0.43467839]
71,0.72,0.617089453,[0.71648873 0.41036184]
72,0.73,0.628304406,[0.7213771  0.44186047]
73,0.74,0.623497997,[0.71845048 0.43190975]
74,0.75,0.625901202,[0.71996802 0.43667069]
75,0.76,0.622696929,[0.71846981 0.42816673]
76,0.77,0.62670227,[0.72084665 0.43674456]
77,0.78,0.628037383,[0.72167832 0.43943662]
78,0.79,0.62777036,[0.72220008 0.43608414]
79,0.8,0.62670227,[0.71916432 0.44347134]
80,0.81,0.625634179,[0.71971212 0.43649518]
81,0.82,0.625634179,[0.71926312 0.43830128]
82,0.83,0.629372497,[0.722511   0.44212219]
83,0.84,0.630173565,[0.72470682 0.43676291]
84,0.85,0.63070761,[0.72301222 0.44613536]
85,0.86,0.628571429,[0.72274267 0.43752527]
86,0.87,0.628838451,[0.72144289 0.444     ]
87,0.88,0.629372497,[0.72106109 0.44789181]
88,0.89,0.626168224,[0.72     0.437751]
89,0.9,0.626435247,[0.72025595 0.43792688]
90,0.91,0.625901202,[0.72108302 0.43210377]
91,0.92,0.630974633,[0.72315705 0.44675741]
92,0.93,0.630974633,[0.72481083 0.44003241]
93,0.94,0.629372497,[0.72228892 0.44301766]
94,0.95,0.631775701,[0.72524407 0.44192635]
95,0.96,0.633110814,[0.72475962 0.44995997]
96,0.97,0.632042724,[0.72406888 0.44791667]
97,0.98,0.635514019,[0.72617854 0.45508982]
98,0.99,0.634712951,[0.72672793 0.44927536]
99,1,0.530040053,[0.69284468 0.        ]
