,alpha,beta,MSE,MAE,R2
0,0.01,1,0.000646043,0.010567618,0.780273417
1,0.02,1,0.000631425,0.010574846,0.785245215
2,0.03,1,0.000643231,0.010666956,0.781229893
3,0.04,1,0.000635498,0.010605611,0.783859962
4,0.05,1,0.000630354,0.010600504,0.78560932
5,0.06,1,0.000630638,0.010574989,0.785512686
6,0.07,1,0.000632459,0.010563749,0.78489361
7,0.08,1,0.000628816,0.010606069,0.786132449
8,0.09,1,0.000635809,0.010610506,0.783753996
9,0.1,1,0.000639528,0.010576668,0.782489252
10,0.11,1,0.000637167,0.010588601,0.783292387
11,0.12,1,0.000642044,0.010660918,0.781633386
12,0.13,1,0.000639685,0.010589266,0.78243597
13,0.14,1,0.00063569,0.010631069,0.783794654
14,0.15,1,0.00063332,0.010552647,0.784600666
15,0.16,1,0.000636456,0.010571516,0.783534079
16,0.17,1,0.000625731,0.010543804,0.787181743
17,0.18,1,0.000631638,0.010635052,0.78517284
18,0.19,1,0.00063507,0.010657245,0.784005526
19,0.2,1,0.000622453,0.010583658,0.788296488
20,0.21,1,0.00062492,0.010616065,0.787457718
21,0.22,1,0.000629541,0.010619626,0.785885858
22,0.23,1,0.000636366,0.010599164,0.783564825
23,0.24,1,0.000632631,0.010640389,0.78483507
24,0.25,1,0.00063033,0.01059747,0.785617671
25,0.26,1,0.000638043,0.010589061,0.782994398
26,0.27,1,0.000635703,0.010609069,0.783790035
27,0.28,1,0.000629981,0.010615047,0.785736422
28,0.29,1,0.000622164,0.010586253,0.788394892
29,0.3,1,0.000631206,0.010597021,0.785319601
30,0.31,1,0.000629452,0.01061675,0.785916045
31,0.32,1,0.000635142,0.010647127,0.783981072
32,0.33,1,0.000626103,0.010583922,0.787055224
33,0.34,1,0.000637559,0.010620986,0.783159039
34,0.35,1,0.00062096,0.010602457,0.78880443
35,0.36,1,0.000622828,0.010595763,0.78816918
36,0.37,1,0.000636812,0.010641036,0.783412982
37,0.38,1,0.000640002,0.010613866,0.78232788
38,0.39,1,0.000629371,0.010613627,0.785943666
39,0.4,1,0.00064187,0.010614871,0.781692819
40,0.41,1,0.00062893,0.010587472,0.786093889
41,0.42,1,0.000636997,0.010611055,0.783349957
,0.43,1,0.000641251,0.01063676,0.781903087
,0.44,1,0.000634514,0.010606659,0.784194495
,0.45,1,0.000630657,0.01058462,0.785506415
,0.46,1,0.000638583,0.010625817,0.782810516
,0.47,1,0.000629975,0.010591699,0.785738303
,0.48,1,0.000628412,0.010575398,0.786269772
,0.49,1,0.000635381,0.010607,0.783899657
,0.5,1,0.0006374,0.010574368,0.783213084
,0.51,1,0.000632598,0.010595053,0.784846074
,0.52,1,0.00062408,0.010589788,0.787743161
,0.53,1,0.000633817,0.010574697,0.784431537
,0.54,1,0.000630299,0.010635671,0.785628243
,0.55,1,0.000631809,0.010633707,0.785114511
,0.56,1,0.000647873,0.010676369,0.779651133
,0.57,1,0.000634336,0.010587496,0.784255068
,0.58,1,0.000633741,0.010616399,0.784457529
,0.59,1,0.000627712,0.010614511,0.78650792
,0.6,1,0.000626245,0.01063783,0.787007117
,0.61,1,0.000619295,0.010563507,0.789370676
,0.62,1,0.000650587,0.010587947,0.778727983
,0.63,1,0.000640971,0.010575835,0.781998475
,0.64,1,0.000636238,0.010572719,0.783608359
,0.65,1,0.000633586,0.010598137,0.784510327
,0.66,1,0.000639372,0.010627546,0.782542464
,0.67,1,0.00063853,0.010605173,0.782828603
,0.68,1,0.00063006,0.010593294,0.785709483
,0.69,1,0.000622535,0.010560106,0.788268646
,0.7,1,0.000651364,0.010606719,0.778463758
,0.71,1,0.000637235,0.010626219,0.783268969
,0.72,1,0.000640238,0.010644065,0.782247689
,0.73,1,0.000630964,0.010603161,0.78540194
,0.74,1,0.000637952,0.010588894,0.783025188
,0.75,1,0.000626199,0.010622769,0.787022626
,0.76,1,0.000630786,0.010602192,0.785462474
,0.77,1,0.000630781,0.010601829,0.785464299
,0.78,1,0.000630353,0.010602049,0.785609855
,0.79,1,0.000640981,0.010580171,0.781995131
,0.8,1,0.000634044,0.010581025,0.784354256
,0.81,1,0.000625895,0.010607625,0.787125975
,0.82,1,0.000636553,0.010654691,0.783501128
,0.83,1,0.000633112,0.010570056,0.784671424
,0.84,1,0.000634076,0.010605201,0.784343593
,0.85,1,0.000628554,0.010593371,0.786221795
,0.86,1,0.000628739,0.010594048,0.786158815
,0.87,1,0.000634662,0.010597188,0.78414429
,0.88,1,0.000641933,0.010632575,0.781671435
,0.89,1,0.000641188,0.010618261,0.781924831
,0.9,1,0.00063242,0.010613296,0.784906694
,0.91,1,0.000623923,0.01058287,0.787796545
,0.92,1,0.000630187,0.010553881,0.78566616
,0.93,1,0.000632195,0.010609949,0.784983308
,0.94,1,0.000624801,0.010569145,0.787497946
,0.95,1,0.000638325,0.010598197,0.782898481
,0.96,1,0.000633471,0.010656491,0.784549303
,0.97,1,0.000635976,0.010604423,0.783697454
,0.98,1,0.000640853,0.010581644,0.782038726
,0.99,1,0.000624443,0.010573428,0.787619815
,1,1,0.000633907,0.010591605,0.784400902
